Date,Description,Amount,Category,Balance
2024-03-01,TEVA PHARMA PAYROLL,2500.00,Income,5000.00
2024-03-02,First Tech FCU LOAN PAYMENT,-500.00,Student Loan,4500.00
2024-03-03,VANGUARD BUY MUTUAL FUND,-1000.00,Investments,3500.00
2024-03-04,CAPITAL ONE CREDIT CARD PAYMENT,-750.00,Credit Card,2750.00
2024-03-05,JPMorgan Chase AUTO LOAN,-400.00,Auto Loan,2350.00
2024-03-06,GROCERY STORE,-85.50,Uncategorized,2264.50
2024-03-07,GAS STATION,-45.00,Uncategorized,2219.50
2024-03-08,AMAZON.COM,-120.75,Uncategorized,2098.75
2024-03-09,NETFLIX,-15.99,Uncategorized,2082.76
2024-03-10,INTEREST PAYMENT,2.50,Income,2085.26 